filename,true,predicted,probabilities
/content/dataset grape disease/Healthy/4a31039d-54b1-4a0f-bc5f-2032f94c27af___Mt.N.V_HL 9040_new30degFlipLR.JPG,0,0,"[1.0, 4.2174754357263144e-13, 3.4492783629325174e-11, 3.755050159703899e-10]"
/content/dataset grape disease/ESCA/c0c571cc-b3b1-4973-b454-bb28b2668a49___FAM_B.Msls 4290_flipLR.JPG,2,2,"[5.256844369260925e-22, 2.088015003953725e-11, 1.0, 4.98956827799644e-15]"
/content/dataset grape disease/Black Rot/b9583e41-c022-4796-918f-7b481103dc4e___FAM_B.Rot 0532_flipLR.JPG,1,1,"[5.4691547593115785e-17, 0.9996966123580933, 0.0003031212545465678, 2.3619118394435645e-07]"
/content/dataset grape disease/ESCA/2aa5339e-a039-42d9-a492-747e93f884eb___FAM_B.Msls 3967.JPG,2,2,"[1.5396995678429448e-08, 8.111895112961065e-06, 0.9999793767929077, 1.252395668416284e-05]"
/content/dataset grape disease/ESCA/83d8dcc2-a2ad-4b3c-beee-044c02c7c197___FAM_B.Msls 4472_flipLR.JPG,2,2,"[4.773879317028495e-13, 0.0001504672400187701, 0.9998495578765869, 9.834767444871773e-10]"
/content/dataset grape disease/Leaf Blight/ca1219a9-1282-4c57-8abd-4ffe60454fc0___FAM_L.Blight 1631.JPG,3,3,"[5.683203907480561e-10, 1.3893839412304487e-09, 1.8088618103373477e-10, 1.0]"
/content/dataset grape disease/ESCA/dd0daa1c-d6cb-418c-87cb-0a810aca5b65___FAM_B.Msls 3797_flipLR.JPG,2,2,"[6.311663480898832e-23, 1.5510950390762446e-07, 0.9999998807907104, 4.333685103483087e-13]"
/content/dataset grape disease/Healthy/f8f6d1ee-deb5-4b3c-a92e-2583e2d6d590___Mt.N.V_HL 6122_new30degFlipLR.JPG,0,0,"[1.0, 1.0843879098701784e-13, 9.248603673270989e-14, 2.8658015960303374e-09]"
/content/dataset grape disease/Black Rot/1c2b4d6c-dc3d-4913-b98f-2da54c4f6614___FAM_B.Rot 3602.JPG,1,1,"[1.9318028965122612e-16, 0.9999992847442627, 2.6850082690543786e-07, 4.318731328112335e-07]"
/content/dataset grape disease/Leaf Blight/51e79c35-cbb4-45ff-8d04-0720f392f36c___FAM_L.Blight 1425.JPG,3,3,"[2.106871344054184e-09, 2.100143170480351e-09, 4.416295329434661e-09, 1.0]"
/content/dataset grape disease/ESCA/6013c9d2-e292-49a0-bffd-3e18bdea1644___FAM_B.Msls 4193_flipLR.JPG,2,2,"[2.1502737737900683e-21, 9.441578074920187e-11, 1.0, 1.6885368971097936e-12]"
/content/dataset grape disease/ESCA/b7965e94-f9c9-4298-b270-29e0928792d0___FAM_B.Msls 3822_flipLR.JPG,2,2,"[4.356985692371973e-14, 0.01592659018933773, 0.9840732216835022, 2.576405506715673e-07]"
/content/dataset grape disease/Healthy/2483db02-a7f8-4a09-8bd0-76dfcd130671___Mt.N.V_HL 6111_new30degFlipLR.JPG,0,0,"[1.0, 3.115292312311224e-13, 6.198663002159044e-14, 8.780054905344059e-09]"
/content/dataset grape disease/ESCA/756e3fbd-bdb2-47d3-bb3f-40a8ec80184b___FAM_B.Msls 4060_flipLR.JPG,2,2,"[2.360594693412556e-22, 1.2716230846088195e-10, 1.0, 3.509660899915696e-16]"
/content/dataset grape disease/Black Rot/f1e9c5a3-e751-431c-9906-1f6a2cc85824___FAM_B.Rot 5108.JPG,1,1,"[4.70954109044186e-11, 0.9987202882766724, 5.6300696087419055e-06, 0.001274112262763083]"
/content/dataset grape disease/Black Rot/bd9ca8a5-b278-4b62-a90d-d7cc32ba8c47___FAM_B.Rot 0340_flipLR.JPG,1,1,"[1.5037376971396778e-15, 0.9999948740005493, 5.161608441994758e-06, 4.8839603472572435e-09]"
/content/dataset grape disease/Black Rot/b66d9065-d347-484e-bf55-6d31fee8a32c___FAM_B.Rot 5042.JPG,1,1,"[2.6161446342598538e-08, 0.9998642206192017, 0.00011336667375871912, 2.2402431568480097e-05]"
/content/dataset grape disease/Healthy/2691980c-7324-49e2-85b3-dbfa0a283f2a___Mt.N.V_HL 9019_270deg.JPG,0,0,"[0.9999929666519165, 4.7979929149732925e-06, 1.1977076042057888e-07, 2.1568637293967186e-06]"
/content/dataset grape disease/Leaf Blight/105c3d19-bb40-4917-8c19-cb3cb38a172f___FAM_L.Blight 4586.JPG,3,3,"[8.60370732991278e-11, 2.1172246178480236e-09, 1.0046060511248456e-10, 1.0]"
/content/dataset grape disease/Healthy/43256f66-6c1c-41f7-9505-890ed9dbf4c2___Mt.N.V_HL 8980_270deg.JPG,0,0,"[0.9999977350234985, 1.7165690451292903e-06, 3.1804734135221224e-07, 2.404989061233209e-07]"
/content/dataset grape disease/Leaf Blight/5ffff25b-fcaa-4f93-ba23-9315ce5adcd6___FAM_L.Blight 1451.JPG,3,3,"[3.4062941356438614e-09, 3.8360207099685795e-07, 1.8725167250099872e-10, 0.9999996423721313]"
/content/dataset grape disease/ESCA/cf217be0-367b-481f-83b9-7e4dde3db7e5___FAM_B.Msls 4182.JPG,2,2,"[1.6793255359929057e-16, 1.7047489109245362e-06, 0.9999983310699463, 2.0022232136152063e-11]"
/content/dataset grape disease/ESCA/a7d77dc1-c8d7-4105-8e9f-88dedb54c779___FAM_B.Msls 1305_flipLR.JPG,2,2,"[3.0282223944901463e-21, 5.986534878932304e-11, 1.0, 2.6704979475325723e-16]"
/content/dataset grape disease/Black Rot/2860c88f-4efe-4925-910a-a8b6cea599f7___FAM_B.Rot 3209.JPG,1,1,"[7.905054388857025e-11, 0.9999420642852783, 5.716508530895226e-05, 7.292402983694046e-07]"
/content/dataset grape disease/Leaf Blight/d7ff358a-bc45-4b81-a632-68d8e87ab529___FAM_L.Blight 3676_flipLR.JPG,3,3,"[1.7155127687330796e-13, 9.716177718616624e-15, 2.8332818404787352e-14, 1.0]"
/content/dataset grape disease/ESCA/e25ca1b5-06ec-4f1b-a1ed-bad8ad1ee0c2___FAM_B.Msls 0837.JPG,2,2,"[3.38795513466153e-22, 1.1393067600451445e-09, 1.0, 3.436372697643498e-16]"
/content/dataset grape disease/Healthy/f8bb34c3-13a4-4762-a16d-79ec49823e3e___Mt.N.V_HL 8911_180deg.JPG,0,0,"[1.0, 1.6826368076650056e-09, 2.273925405610333e-13, 1.7409742267618378e-12]"
/content/dataset grape disease/ESCA/e8ca95a9-3716-4f7c-a466-b31b4532f835___FAM_B.Msls 1269.JPG,2,2,"[8.453332156433288e-28, 2.7722848380129375e-16, 1.0, 7.232892479322963e-20]"
/content/dataset grape disease/Black Rot/6c84c4ef-9f82-414e-93d8-28c2aa5e0707___FAM_B.Rot 3226_flipLR.JPG,1,1,"[5.719203444165544e-10, 0.9993222951889038, 1.0350107913836837e-05, 0.0006673387251794338]"
/content/dataset grape disease/Black Rot/0abb363c-2365-4816-a6c4-ce4bac6ffc38___FAM_B.Rot 3122.JPG,1,1,"[3.642640442752532e-12, 0.999994158744812, 5.81855965720024e-06, 8.135802254116697e-09]"
/content/dataset grape disease/ESCA/913fb01a-40e2-454b-bc87-aba0669633cf___FAM_B.Msls 3910.JPG,2,2,"[5.096834412854356e-13, 0.0002150604996131733, 0.9997848868370056, 8.63065796607998e-09]"
/content/dataset grape disease/Healthy/5cb0aff8-6889-46d4-b283-da8f77761523___Mt.N.V_HL 8909.JPG,0,0,"[1.0, 2.3971823637225498e-08, 8.075135560225988e-10, 3.1894193952552996e-09]"
/content/dataset grape disease/Leaf Blight/5ffff25b-fcaa-4f93-ba23-9315ce5adcd6___FAM_L.Blight 1451_flipLR.JPG,3,3,"[4.2677310574390503e-08, 1.5099047914191033e-06, 6.265565288821051e-10, 0.9999984502792358]"
/content/dataset grape disease/ESCA/c65bf67d-61a9-43ef-b218-ea0a383ffc96___FAM_B.Msls 4313_flipLR.JPG,2,2,"[2.708049254094104e-20, 2.1344446934738748e-13, 1.0, 2.1971434274823537e-13]"
/content/dataset grape disease/Healthy/394d4600-121b-4ecb-9c34-c70f8e3e0377___Mt.N.V_HL 9047_180deg.JPG,0,0,"[0.9999966621398926, 3.3260148484259844e-06, 1.9064172462890383e-08, 7.796001066928682e-10]"
/content/dataset grape disease/Leaf Blight/4378430b-d4ac-4302-8ceb-24ac43116e8d___FAM_L.Blight 1409.JPG,3,3,"[5.038680583879795e-10, 7.140326552246279e-09, 1.1608172756361057e-11, 1.0]"
/content/dataset grape disease/Healthy/69a50f71-f8ee-4280-ac3e-c1d68e950c2e___Mt.N.V_HL 6165.JPG,0,0,"[0.999492883682251, 0.00044405870721675456, 9.89474244761368e-08, 6.288327131187543e-05]"
/content/dataset grape disease/Leaf Blight/26d3fccb-95ee-460d-9e6c-35d316fb93fb___FAM_L.Blight 4512.JPG,3,3,"[1.3110350478851007e-11, 2.054964054823416e-12, 1.0392184075086464e-12, 1.0]"
/content/dataset grape disease/ESCA/4dc7db46-8e8e-44df-93aa-6789836697a7___FAM_B.Msls 0932.JPG,2,2,"[4.34539802754365e-15, 6.6066627368854824e-06, 0.9999934434890747, 4.289889776742939e-09]"
/content/dataset grape disease/Healthy/4e38b7a3-fc3e-4e9d-baa0-89f98aa10f99___Mt.N.V_HL 8910_180deg.JPG,0,0,"[0.9999951124191284, 4.8679539759177715e-06, 5.2005887596351386e-08, 2.0005591849781013e-08]"
/content/dataset grape disease/Leaf Blight/5acd6847-c005-4bf8-a676-80c93e802f87___FAM_L.Blight 0810.JPG,3,3,"[1.677431860080958e-09, 0.0014319461770355701, 1.948455796707549e-08, 0.998568058013916]"
/content/dataset grape disease/Black Rot/2860c88f-4efe-4925-910a-a8b6cea599f7___FAM_B.Rot 3209_flipLR.JPG,1,1,"[4.983415481489561e-13, 0.9999744892120361, 2.554745697125327e-05, 3.053481734127672e-08]"
/content/dataset grape disease/ESCA/b56821a5-ba37-4072-9889-53396a3d780e___FAM_B.Msls 3921_flipLR.JPG,2,2,"[2.2031059973299377e-13, 2.50632041343124e-07, 0.9999997615814209, 6.426427168193527e-10]"
/content/dataset grape disease/Healthy/a4158d4f-b9f2-49e8-8dbe-02c619685624___Mt.N.V_HL 6042_270deg.JPG,0,0,"[0.9999986886978149, 1.2212423143864726e-06, 3.70869897292625e-11, 6.234137828187158e-08]"
/content/dataset grape disease/Black Rot/df755deb-0a16-4b1c-9717-5b7d34a4a05b___FAM_B.Rot 5057.JPG,1,1,"[1.611845505067322e-06, 0.9980375170707703, 8.726045052753761e-06, 0.0019521216163411736]"
/content/dataset grape disease/Healthy/61a531ba-3d52-4af3-8828-c2dbba4d3b1d___Mt.N.V_HL 8941_270deg.JPG,0,0,"[0.9999996423721313, 1.0290979446381243e-07, 2.365250495461879e-10, 2.3888847522357537e-07]"
/content/dataset grape disease/ESCA/42d4646d-f709-4c28-a231-9fd65252ca7a___FAM_B.Msls 4179_flipLR.JPG,2,2,"[1.9699897744302653e-22, 2.072140202480366e-12, 1.0, 1.8214359328531243e-14]"
/content/dataset grape disease/Leaf Blight/5981527c-3d09-4347-ad8a-03d601d8e50d___FAM_L.Blight 4931.JPG,3,3,"[1.7009257646805054e-07, 4.019128141408146e-08, 1.640368054722785e-07, 0.9999996423721313]"
/content/dataset grape disease/ESCA/6dde4150-9c70-4d59-87b7-e1bc8fe0a7ad___FAM_B.Msls 1081.JPG,2,2,"[1.983371504397724e-32, 1.0878378897716164e-19, 1.0, 2.2818894255871498e-24]"
/content/dataset grape disease/Leaf Blight/f29ba282-53be-4035-9f51-0ea9db5b644f___FAM_L.Blight 3780_flipLR.JPG,3,3,"[5.2210853418444e-09, 6.946697794774082e-08, 6.047561118549538e-09, 0.9999998807907104]"
/content/dataset grape disease/Black Rot/726f2717-235a-45cf-8a0b-ba76b5e54771___FAM_B.Rot 3217_flipLR.JPG,1,1,"[3.5633624414881104e-13, 0.9996160268783569, 0.00038399273762479424, 1.2207591604251888e-09]"
/content/dataset grape disease/ESCA/ae79d5f9-7980-43a3-807e-ec967d36b574___FAM_B.Msls 3930_flipLR.JPG,2,2,"[3.539927885868287e-14, 8.659346804051893e-07, 0.9999991655349731, 8.103626658595431e-10]"
/content/dataset grape disease/Black Rot/ee45e010-fd06-443a-b845-885ebbcebfd8___FAM_B.Rot 3449.JPG,1,1,"[1.8987488651137606e-15, 0.9996470212936401, 0.0003528061497490853, 8.925794503511497e-08]"
/content/dataset grape disease/ESCA/784c3d5c-d580-4274-96c6-b8d197267088___FAM_B.Msls 0973_flipLR.JPG,2,2,"[4.4502627148082596e-20, 4.3124925852566776e-10, 1.0, 1.1359752826172343e-14]"
/content/dataset grape disease/Black Rot/82557506-a1bd-48eb-af05-af9271673fd2___FAM_B.Rot 3480_flipLR.JPG,1,1,"[3.0590274757713587e-10, 0.9905946254730225, 0.009404915384948254, 4.456463784663356e-07]"
/content/dataset grape disease/Black Rot/a709f4dc-abb4-49c0-a75a-e761fbd075fd___FAM_B.Rot 3504_flipLR.JPG,1,1,"[3.9600738459917226e-14, 0.9999995231628418, 4.840081828660914e-07, 2.12968073731723e-10]"
/content/dataset grape disease/Black Rot/4b7b10cb-99f2-4688-b5c8-b820c3214845___FAM_B.Rot 3489_flipLR.JPG,1,1,"[9.900522854877636e-07, 0.9997749924659729, 0.000146005506394431, 7.802771142451093e-05]"
/content/dataset grape disease/Black Rot/169f71a8-25b8-417a-bfd3-803416363700___FAM_B.Rot 0706.JPG,1,1,"[2.0409112767849624e-12, 0.9999988079071045, 4.496973531331605e-07, 7.301348432520172e-07]"
/content/dataset grape disease/Leaf Blight/3b7f3c9b-a314-4877-b1ea-4d51ef68370f___FAM_L.Blight 5006_flipLR.JPG,3,3,"[2.283187150453614e-08, 1.927439967630562e-07, 6.235428173795299e-08, 0.9999996423721313]"
/content/dataset grape disease/ESCA/a75e0225-d002-4491-a20b-437970b49e19___FAM_B.Msls 1157_flipLR.JPG,2,2,"[1.5642194699730345e-24, 9.462444933508452e-13, 1.0, 1.4460433978962108e-16]"
/content/dataset grape disease/Black Rot/8ec64831-79ea-49af-a33c-b1d065861453___FAM_B.Rot 3339.JPG,1,1,"[5.64216895426739e-09, 0.999998927116394, 8.170544560925919e-07, 2.4127012920871493e-07]"
/content/dataset grape disease/Healthy/31a167ba-d110-4fd4-ba34-f9afd27d0f21___Mt.N.V_HL 6140_new30degFlipLR.JPG,0,0,"[1.0, 8.263016464636619e-15, 2.8938182687794634e-14, 2.1663945637406812e-10]"
/content/dataset grape disease/Leaf Blight/c08c3e56-4192-40a6-9b51-8733e642dafa___FAM_L.Blight 1422_flipLR.JPG,3,3,"[4.307315837337455e-09, 4.7667456648525786e-09, 2.7604290381288976e-12, 1.0]"
/content/dataset grape disease/Healthy/b556f11d-115a-4bac-8120-05195ac42e1d___Mt.N.V_HL 9123_90deg.JPG,0,0,"[0.9999960660934448, 3.506041821310646e-06, 5.8094997257285286e-08, 4.794917458639247e-07]"
/content/dataset grape disease/ESCA/f01d8a04-6fd2-4ff8-a6a4-947446744ba0___FAM_B.Msls 1007.JPG,2,2,"[6.96396713793714e-16, 2.1290426843734167e-07, 0.9999997615814209, 3.420984415886119e-12]"
/content/dataset grape disease/Black Rot/fb355d60-2e49-46eb-a313-285676e47bef___FAM_B.Rot 3352_flipLR.JPG,1,1,"[1.985517306124507e-09, 0.9925829172134399, 0.007409915793687105, 7.1940453381103e-06]"
/content/dataset grape disease/Healthy/dc89d1b9-0c5c-4178-b341-c8675d04dad3___Mt.N.V_HL 8971_90deg.JPG,0,0,"[0.9999998807907104, 3.177543916876857e-08, 1.1736478455759425e-10, 8.457884348445077e-08]"
/content/dataset grape disease/Black Rot/e57e758a-470a-4f9a-af1b-754fe959f97e___FAM_B.Rot 0580.JPG,1,1,"[1.2521627614989206e-12, 1.0, 2.588107728129785e-09, 5.790834034513637e-09]"
/content/dataset grape disease/Healthy/da73a76d-506a-4a34-bedd-e79998f3949c___Mt.N.V_HL 8958.JPG,0,0,"[0.9999377727508545, 6.782274226679874e-07, 2.434835444375949e-09, 6.155938899610192e-05]"
/content/dataset grape disease/ESCA/81a1b9ac-4e0e-4bd0-aa3a-ffa4448e34ff___FAM_B.Msls 1828.JPG,2,2,"[9.351538778901158e-07, 0.06768641620874405, 0.9323107600212097, 1.9235014860896626e-06]"
/content/dataset grape disease/Leaf Blight/2a302142-7c38-4432-b903-aba03eb5d47e___FAM_L.Blight 1656.JPG,3,3,"[1.6250126577688206e-07, 1.7252502004794223e-07, 5.206126085788298e-10, 0.9999997615814209]"
/content/dataset grape disease/Leaf Blight/ae05fda8-9a5e-4c10-a975-3a06bfa49dab___FAM_L.Blight 4689_flipLR.JPG,3,3,"[2.4323874026066505e-09, 4.936184239134889e-10, 1.0714340656012289e-12, 1.0]"
/content/dataset grape disease/Black Rot/0a31549c-8adb-4acc-bab2-a0954f063054___FAM_B.Rot 0687.JPG,1,1,"[3.2494109625247347e-09, 0.9998741149902344, 0.00012326808064244688, 2.608340992082958e-06]"
/content/dataset grape disease/Black Rot/efe1eba2-52c3-4399-a851-3095e4d1e86a___FAM_B.Rot 0633_flipLR.JPG,1,1,"[5.0200825587541784e-20, 0.999896764755249, 0.00010326171468477696, 8.658261607674689e-11]"
/content/dataset grape disease/Healthy/9dcbfa01-f415-4792-87d8-d790d771e272___Mt.N.V_HL 8943_180deg.JPG,0,0,"[0.9999909400939941, 5.692694685421884e-06, 1.170550149254268e-06, 2.1569210275629302e-06]"
/content/dataset grape disease/Leaf Blight/9c6fb219-6111-4bec-b97f-8cbba312470b___FAM_L.Blight 0773_flipLR.JPG,3,3,"[3.133582060499407e-09, 5.537402758548637e-10, 1.4215451038523952e-10, 1.0]"
/content/dataset grape disease/Leaf Blight/0cab1deb-ebfa-476b-9772-73423d4d93e7___FAM_L.Blight 4640.JPG,3,3,"[2.2391177453839894e-11, 1.3323148140287344e-09, 4.722519575915685e-13, 1.0]"
/content/dataset grape disease/Leaf Blight/af71e14d-bbc7-41e0-b717-23d029cd279f___FAM_L.Blight 4565.JPG,3,3,"[1.9182283722329885e-05, 2.4549365207349183e-06, 6.199325053302118e-09, 0.9999783039093018]"
/content/dataset grape disease/ESCA/8442f102-0b5b-479f-8a6e-491b2e906d11___FAM_B.Msls 3863_flipLR.JPG,2,2,"[5.931720670204754e-10, 0.035012319684028625, 0.9649870991706848, 6.103201712903683e-07]"
/content/dataset grape disease/Black Rot/d52dcf94-9f7f-4cb1-9f92-d8e258ee4ba1___FAM_B.Rot 0682.JPG,1,1,"[9.405370301069883e-19, 0.9999994039535522, 5.969713470221905e-07, 2.342790544895834e-11]"
/content/dataset grape disease/ESCA/81bc0139-c820-48c3-8a59-3fc08493b502___FAM_B.Msls 4227.JPG,2,2,"[1.7412925760478367e-20, 3.0431056785573674e-08, 1.0, 5.747541385967697e-14]"
/content/dataset grape disease/Black Rot/903c52a3-7f01-4b6d-be46-cde5909d5a8b___FAM_B.Rot 0429_flipLR.JPG,1,1,"[3.080625286659179e-14, 0.999992847442627, 7.09565392753575e-06, 2.028633372397337e-10]"
/content/dataset grape disease/Black Rot/ed40b1ed-928e-4435-b192-8c7b68e1349e___FAM_B.Rot 3131.JPG,1,1,"[6.750834590166645e-16, 0.9999986886978149, 1.2566522400447866e-06, 1.979235220161968e-09]"
/content/dataset grape disease/Leaf Blight/a5e8827c-15f8-40ef-8aca-f3ff55e57166___FAM_L.Blight 3760.JPG,3,3,"[2.448373095376155e-07, 6.190740009515139e-08, 5.658931989671601e-09, 0.9999996423721313]"
/content/dataset grape disease/Black Rot/ab6f4e63-41f9-4f2d-8b1b-af27dcbbbdbc___FAM_B.Rot 3505_flipLR.JPG,1,1,"[4.50617380865978e-13, 1.0, 6.91264734342667e-09, 1.1860774584704359e-09]"
/content/dataset grape disease/ESCA/c1d4a89c-d1b9-4363-9b2e-d1e5a6b04062___FAM_B.Msls 0994.JPG,2,2,"[2.6391481786839913e-19, 6.789505277993158e-07, 0.9999992847442627, 5.517075511718428e-13]"
/content/dataset grape disease/Black Rot/2b89af9b-90fc-406a-90af-7fbd25566267___FAM_B.Rot 3616_flipLR.JPG,1,1,"[2.0499886952541436e-23, 1.0, 4.073150705607986e-08, 1.515036880672671e-11]"
/content/dataset grape disease/ESCA/1461c5b3-2b6b-4cd2-947c-f2610257bde9___FAM_B.Msls 3899_flipLR.JPG,2,2,"[2.8487674662270278e-15, 1.3635697015956794e-08, 1.0, 2.4878123866534096e-11]"
/content/dataset grape disease/ESCA/316ccd32-0e9c-40bb-869b-1378cebdb6a0___FAM_B.Msls 0968_flipLR.JPG,2,2,"[1.8963148651178485e-13, 2.06918286949076e-07, 0.9999997615814209, 8.615866242678294e-09]"
/content/dataset grape disease/Leaf Blight/64659f0c-8927-49f1-b5bc-54df8eb97d35___FAM_L.Blight 4978.JPG,3,3,"[6.666124932053208e-07, 2.677395514183445e-07, 4.526147989736273e-08, 0.9999990463256836]"
/content/dataset grape disease/Black Rot/b76d77a0-0586-4c26-bfa9-2a2ca64adfbb___FAM_B.Rot 3422_flipLR.JPG,1,1,"[2.4243436769211257e-07, 0.9975211024284363, 0.0024785902351140976, 3.6765140265515583e-08]"
/content/dataset grape disease/ESCA/edfed485-3794-48f2-a447-a2222428d48d___FAM_B.Msls 1200.JPG,2,2,"[3.7299954236402755e-09, 0.4692727327346802, 0.530727207660675, 6.727776025172716e-08]"
/content/dataset grape disease/Leaf Blight/f2491a00-18d1-467a-b7e3-24a950a43203___FAM_L.Blight 3682_flipLR.JPG,3,3,"[3.2507047054153304e-10, 4.795178476513229e-09, 1.2323624759558172e-11, 1.0]"
/content/dataset grape disease/Leaf Blight/0771072b-cb0a-4ce9-b18a-cb9c654355e5___FAM_L.Blight 3752_flipLR.JPG,3,3,"[1.733490850863717e-10, 2.5893306943025607e-10, 9.148829697297467e-13, 1.0]"
/content/dataset grape disease/Healthy/bd7f0429-550b-4e28-95af-98e56b282437___Mt.N.V_HL 6130.JPG,0,0,"[1.0, 2.2680866074153982e-09, 1.4560430769069987e-12, 3.1831988434039005e-11]"
/content/dataset grape disease/ESCA/7bcb5a22-1009-43b6-b077-8e84a7c6ba23___FAM_B.Msls 1115.JPG,2,2,"[6.652815303350649e-27, 1.3965113516544586e-14, 1.0, 7.909436497144271e-18]"
/content/dataset grape disease/Black Rot/3d8bd6cf-86c4-4b2c-8f99-a3cb0978b7e5___FAM_B.Rot 0607_flipLR.JPG,1,1,"[1.8194661777215515e-08, 0.999981164932251, 2.2622730284638237e-06, 1.661556598264724e-05]"
/content/dataset grape disease/ESCA/d35a873e-fa01-4c28-9140-f46a37ef1e59___FAM_B.Msls 0895.JPG,2,1,"[7.165773530104502e-11, 0.5475553870201111, 0.45244401693344116, 5.622716230391234e-07]"
/content/dataset grape disease/Leaf Blight/a7f2a181-6e98-4ebe-b2c2-f1bb7c1eac9c___FAM_L.Blight 1615_flipLR.JPG,3,3,"[0.0021389834582805634, 0.0750952735543251, 2.1092073438921943e-06, 0.9227636456489563]"
/content/dataset grape disease/Healthy/d5fe4316-44da-4fd9-a608-75908ad76862___Mt.N.V_HL 6143_90deg.JPG,0,0,"[0.999997615814209, 2.4101052531477762e-06, 5.767569755121826e-10, 3.368857415253501e-09]"
/content/dataset grape disease/Healthy/345f02f4-0d5d-44cf-ab60-24dbd9243e2c___Mt.N.V_HL 6071_new30degFlipLR.JPG,0,0,"[0.9999979734420776, 3.954586658139192e-11, 4.39283311948202e-08, 1.976993644348113e-06]"
/content/dataset grape disease/Healthy/dcf0b467-3d86-49b9-991e-00f5b82465c7___Mt.N.V_HL 8935_180deg.JPG,0,0,"[1.0, 1.769716040378455e-09, 8.889292635316792e-10, 2.592396075584702e-09]"
/content/dataset grape disease/Black Rot/208a1a2c-c037-429c-9476-81fc568bde5f___FAM_B.Rot 3049_flipLR.JPG,1,1,"[2.867400544434573e-12, 0.9998650550842285, 0.00013491993013303727, 6.07887851167277e-10]"
/content/dataset grape disease/Healthy/9d78272e-303b-4fcc-af33-ff47d89a312d___Mt.N.V_HL 8959.JPG,0,0,"[0.9999985694885254, 1.1552269825187977e-06, 2.9681022084560027e-09, 2.7833669946630835e-07]"
/content/dataset grape disease/Leaf Blight/27e65f9d-3d4f-41e3-ab13-218efd033b6c___FAM_L.Blight 1660_flipLR.JPG,3,3,"[9.304448767011309e-09, 1.3106362928283488e-07, 4.1788938975884093e-10, 0.9999998807907104]"
/content/dataset grape disease/Black Rot/a6195b76-5823-430b-a07e-870a2f8ac6b2___FAM_B.Rot 5009.JPG,1,1,"[3.1122657229154527e-10, 0.9869511127471924, 0.013048097491264343, 6.727628942826414e-07]"
/content/dataset grape disease/Black Rot/6c466f8c-fb76-4ae4-90fa-5763875c477e___FAM_B.Rot 3354_flipLR.JPG,1,1,"[8.518119071427091e-15, 0.9999912977218628, 8.683058695169166e-06, 2.784745989359294e-09]"
/content/dataset grape disease/ESCA/74b8a767-7073-47e0-b30d-1c087d080fc0___FAM_B.Msls 3901.JPG,2,2,"[9.280760432080551e-15, 5.9874318836250495e-09, 1.0, 2.0561921956763207e-11]"
/content/dataset grape disease/Healthy/abe2906e-bb00-466f-bf7c-72ef59a5ea82___Mt.N.V_HL 9062_270deg.JPG,0,0,"[0.9999997615814209, 5.4139327687607874e-08, 8.035524468041899e-10, 2.416468305455055e-07]"
/content/dataset grape disease/Black Rot/1d3c0f3d-1b66-4cfc-b67b-af9760864e99___FAM_B.Rot 3317.JPG,1,1,"[2.362226039775983e-11, 0.9999984502792358, 1.1287313839147828e-07, 1.3720347169510205e-06]"
